,datetime,tempmin,year,10_year_rolling_avg
10,2024-12-31 00:00:00+00:00,2.6724315007755974,2024,2.29
11,2025-12-31 00:00:00+00:00,2.190304563990619,2025,2.46
12,2026-12-31 00:00:00+00:00,1.942791014648957,2026,2.25
13,2027-12-31 00:00:00+00:00,1.537274245518531,2027,2.21
14,2028-12-31 00:00:00+00:00,1.5314923221037111,2028,2.08
15,2029-12-31 00:00:00+00:00,1.2100966087849183,2029,1.99
16,2030-12-31 00:00:00+00:00,6.075263938601637,2030,2.17
17,2031-12-31 00:00:00+00:00,4.668019883698671,2031,2.53
18,2032-12-31 00:00:00+00:00,-0.343935099760237,2032,2.23
19,2033-12-31 00:00:00+00:00,4.242164297136414,2033,2.57
20,2034-12-31 00:00:00+00:00,4.620227832613436,2034,2.77
21,2035-12-31 00:00:00+00:00,5.466613230048727,2035,3.1
22,2036-12-31 00:00:00+00:00,4.075732498065944,2036,3.31
23,2037-12-31 00:00:00+00:00,5.012109892124217,2037,3.66
24,2038-12-31 00:00:00+00:00,3.0202249819122287,2038,3.8
25,2039-12-31 00:00:00+00:00,4.7123902961749655,2039,4.15
26,2040-12-31 00:00:00+00:00,5.062251503670598,2040,4.05
27,2041-12-31 00:00:00+00:00,3.802315873063177,2041,3.97
28,2042-12-31 00:00:00+00:00,4.062423579201856,2042,4.41
29,2043-12-31 00:00:00+00:00,3.0225348998841843,2043,4.29
30,2044-12-31 00:00:00+00:00,3.730581363368712,2044,4.2
31,2045-12-31 00:00:00+00:00,4.868050512714342,2045,4.14
32,2046-12-31 00:00:00+00:00,4.361833671778876,2046,4.17
33,2047-12-31 00:00:00+00:00,5.023498970823231,2047,4.17
34,2048-12-31 00:00:00+00:00,5.061011762015887,2048,4.37
35,2049-12-31 00:00:00+00:00,7.376117788159208,2049,4.64
36,2050-12-31 00:00:00+00:00,4.1205139247279945,2050,4.54
37,2051-12-31 00:00:00+00:00,6.672595317940418,2051,4.83
38,2052-12-31 00:00:00+00:00,7.3411495603808286,2052,5.16
39,2053-12-31 00:00:00+00:00,3.428671405368154,2053,5.2
40,2054-12-31 00:00:00+00:00,3.306534322700328,2054,5.16
41,2055-12-31 00:00:00+00:00,1.5625954739520858,2055,4.83
42,2056-12-31 00:00:00+00:00,3.944021140752546,2056,4.78
43,2057-12-31 00:00:00+00:00,8.188853085349782,2057,5.1
44,2058-12-31 00:00:00+00:00,5.991095863473617,2058,5.19
45,2059-12-31 00:00:00+00:00,6.6174306131483025,2059,5.12
46,2060-12-31 00:00:00+00:00,7.798247568830353,2060,5.49
47,2061-12-31 00:00:00+00:00,3.738451873316867,2061,5.19
48,2062-12-31 00:00:00+00:00,2.8936970060666187,2062,4.75
49,2063-12-31 00:00:00+00:00,7.210847535691069,2063,5.13
50,2064-12-31 00:00:00+00:00,5.08915611799865,2064,5.3
51,2065-12-31 00:00:00+00:00,1.968558884548632,2065,5.34
52,2066-12-31 00:00:00+00:00,8.170141875382246,2066,5.77
53,2067-12-31 00:00:00+00:00,8.200748929320685,2067,5.77
54,2068-12-31 00:00:00+00:00,5.063683955532583,2068,5.68
55,2069-12-31 00:00:00+00:00,4.8590604495371705,2069,5.5
56,2070-12-31 00:00:00+00:00,6.262245001288038,2070,5.35
57,2071-12-31 00:00:00+00:00,7.468065373636764,2071,5.72
58,2072-12-31 00:00:00+00:00,2.8492597292064614,2072,5.71
59,2073-12-31 00:00:00+00:00,0.3205067203264775,2073,5.03
60,2074-12-31 00:00:00+00:00,8.256139807821018,2074,5.34
61,2075-12-31 00:00:00+00:00,6.161604269096449,2075,5.76
62,2076-12-31 00:00:00+00:00,6.5064962796118575,2076,5.59
63,2077-12-31 00:00:00+00:00,3.5693152716116088,2077,5.13
64,2078-12-31 00:00:00+00:00,7.291616368861202,2078,5.35
65,2079-12-31 00:00:00+00:00,9.191832271720187,2079,5.79
66,2080-12-31 00:00:00+00:00,7.286297353676911,2080,5.89
